Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-04-02,Carron Clothing Pvt Ltd,001/24-25,27AABCC2448L1ZK,21689,1960.00 Cr,49.00 Cr,49.00 Cr,17529.00 Cr,1051.00 Cr,1051.00 Cr,,,,,,,8541212.00 Dr
2024-04-02,Honesty Stores,002/24-25,27ABIPS0106J1ZP,12578,3960.00 Cr,99.00 Cr,99.00 Cr,7516.00 Cr,452.00 Cr,452.00 Cr,,,,,,,
2024-04-02,Trios,003/24-25,27AACFT4028M1ZY,1429,,,,1275.00 Cr,77.00 Cr,77.00 Cr,,,,,,,
2024-04-02,Kalapi Nx,004/24-25,27AASFK2634G1Z4,5527,,,,4935.00 Cr,296.00 Cr,296.00 Cr,,,,,,,
2024-04-03,Mom N Me-Punjab,005/24-25,03AYZPS4862M1ZE,78142,,,,,,,69770.00 Cr,8372.00 Cr,,,,,
2024-04-03,Bhape-Di-Hatti,006/24-25,03ACOPS5467R1ZL,45562,,,,,,,40680.00 Cr,4882.00 Cr,,,,,
2024-04-03,Deep Fashion Gallary,007/24-25,03AVLPK9333L1Z8,38405,,,,,,,34290.00 Cr,4115.00 Cr,,,,,
2024-04-03,Kalapi Nx,008/24-25,27AASFK2634G1Z4,7029,,,,6274.00 Cr,377.00 Cr,377.00 Cr,,,1.00 Cr,,,,
2024-04-03,Janta Bazar-Nallasopara,009/24-25,27AAGFJ8219C1ZG,9981,,,,8911.00 Cr,535.00 Cr,535.00 Cr,,,,,,,
2024-04-04,Guru Nanak Garments-Punjab,010/24-25,03AEWPM6690L1ZO,24142,,,,,,,21555.00 Cr,2587.00 Cr,,,,,
2024-04-04,Jay Jalaram Family Mall,011/24-25,24AARFJ9924F1ZZ,30122,,,,,,,26895.00 Cr,3227.00 Cr,,,,,
2024-04-05,Tiny Baby,012/24-25,27BABPS1183E1ZT,13087,,,,11685.00 Cr,701.00 Cr,701.00 Cr,,,,,,,
2024-04-05,Celebrations,013/24-25,,5829,,,,5025.00 Cr,302.00 Cr,302.00 Cr,,,,200.00 Cr,,,
2024-04-06,Celebrations,014/24-25,,1668,,,,1400.00 Cr,84.00 Cr,84.00 Cr,,,,100.00 Cr,,,
2024-04-08,Stop N Shop,015/24-25,27AOFPS2660M1ZG,25940,,,,23160.00 Cr,1390.00 Cr,1390.00 Cr,,,,,,,
2024-04-08,Spice,016/24-25,27AHPPJ7298H1ZL,1668,,,,1400.00 Cr,84.00 Cr,84.00 Cr,,,,100.00 Cr,,,
2024-04-09,Honesty Stores,017/24-25,27ABIPS0106J1ZP,12810,1000.00 Cr,25.00 Cr,25.00 Cr,10499.00 Cr,630.00 Cr,630.00 Cr,,,1.00 Cr,,,,
2024-04-10,Spice,018/24-25,27AHPPJ7298H1ZL,14796,,,,13210.00 Cr,793.00 Cr,793.00 Cr,,,,,,,
2024-04-10,Stop N Shop,019/24-25,27AOFPS2660M1ZG,12255,1000.00 Cr,25.00 Cr,25.00 Cr,10005.00 Cr,600.00 Cr,600.00 Cr,,,,,,,
2024-04-10,Carron Clothing Pvt Ltd,020/24-25,27AABCC2448L1ZK,7709,,,,6882.00 Cr,413.00 Cr,413.00 Cr,,,1.00 Cr,,,,
2024-04-11,Kalapi Nx,021/24-25,27AASFK2634G1Z4,4653,1960.00 Cr,49.00 Cr,49.00 Cr,2315.00 Cr,140.00 Cr,140.00 Cr,,,,,,,
2024-04-11,Sagar,022/24-25,27AABPT1293K1ZD,27574,,,,24620.00 Cr,1477.00 Cr,1477.00 Cr,,,,,,,
2024-04-12,Kalapi Nx,023/24-25,27AASFK2634G1Z4,14226,,,,12701.00 Cr,762.00 Cr,762.00 Cr,,,1.00 Cr,,,,
2024-04-13,Harivar,024/24-25,24AADHT8500M1ZY,1965,,,,,,,1665.00 Cr,200.00 Cr,,100.00 Cr,,,
2024-04-16,Celebrations,025/24-25,,3947,,,,3435.00 Cr,206.00 Cr,206.00 Cr,,,,100.00 Cr,,,
2024-04-17,Tiny Baby,026/24-25,27BABPS1183E1ZT,6587,,,,5880.00 Cr,353.00 Cr,353.00 Cr,,,1.00 Cr,,,,
2024-04-17,Honesty Stores,027/24-25,27ABIPS0106J1ZP,9432,,,,8421.00 Cr,505.00 Cr,505.00 Cr,,,1.00 Cr,,,,
2024-04-19,Carron Clothing Pvt Ltd,028/24-25,27AABCC2448L1ZK,10751,1960.00 Cr,49.00 Cr,49.00 Cr,7763.00 Cr,465.00 Cr,465.00 Cr,,,,,,,
2024-04-22,Angel,029/24-25,24AKFPT5168F1ZZ,6599,,,,,,,3150.00 Cr,378.00 Cr,,,2925.00 Cr,146.00 Cr,
2024-04-22,Celebrations,030/24-25,,1697,,,,1425.00 Cr,86.00 Cr,86.00 Cr,,,,100.00 Cr,,,
2024-04-24,Trios,031/24-25,27AACFT4028M1ZY,8159,,,,7285.00 Cr,437.00 Cr,437.00 Cr,,,,,,,
2024-04-27,Puzzle,032/24-25,27AHIPD1472E1ZO,7443,,,,6645.00 Cr,399.00 Cr,399.00 Cr,,,,,,,
2024-04-27,Celebrations,033/24-25,,9661,,,,8625.00 Cr,518.00 Cr,518.00 Cr,,,,,,,
2024-04-27,Tiny Baby,034/24-25,27BABPS1183E1ZT,7911,,,,7063.00 Cr,424.00 Cr,424.00 Cr,,,,,,,
2024-04-29,Carron Clothing Pvt Ltd,035/24-25,27AABCC2448L1ZK,15013,,,,13404.00 Cr,804.00 Cr,804.00 Cr,,,1.00 Cr,,,,
2024-04-29,Stop N Shop,036/24-25,27AOFPS2660M1ZG,2257,,,,2015.00 Cr,121.00 Cr,121.00 Cr,,,,,,,
2024-04-30,Carron Clothing Pvt Ltd,037/24-25,27AABCC2448L1ZK,3143,,,,2807.00 Cr,168.00 Cr,168.00 Cr,,,,,,,
2024-04-30,Celebrations,038/24-25,,7766,,,,6800.00 Cr,408.00 Cr,408.00 Cr,,,,150.00 Cr,,,
2024-05-04,Honesty Stores,039/24-25,27ABIPS0106J1ZP,3181,,,,2840.00 Cr,170.00 Cr,170.00 Cr,,,1.00 Cr,,,,
2024-05-06,Harivar,040/24-25,24AADHT8500M1ZY,2048,,,,,,,1695.00 Cr,203.00 Cr,,150.00 Cr,,,
2024-05-07,Harivar,041/24-25,24AADHT8500M1ZY,1612,,,,,,,1305.00 Cr,157.00 Cr,,150.00 Cr,,,
2024-05-11,Harivar,043/24-25,24AADHT8500M1ZY,6035,,,,,,,5165.00 Cr,620.00 Cr,,250.00 Cr,,,
2024-05-14,Carron Clothing Pvt Ltd,042/24-25,27AABCC2448L1ZK,17828,3960.00 Cr,99.00 Cr,99.00 Cr,12204.00 Cr,733.00 Cr,733.00 Cr,,,,,,,
2024-05-14,Honesty Stores,044/24-25,27ABIPS0106J1ZP,10719,1960.00 Cr,49.00 Cr,49.00 Cr,7734.00 Cr,463.00 Cr,463.00 Cr,,,1.00 Cr,,,,
2024-05-27,Carron Clothing Pvt Ltd,045/24-25,27AABCC2448L1ZK,16688,1960.00 Cr,49.00 Cr,49.00 Cr,13064.00 Cr,783.00 Cr,783.00 Cr,,,,,,,
2024-05-31,Trios,046/24-25,27AACFT4028M1ZY,3743,3565.00 Cr,89.00 Cr,89.00 Cr,,,,,,,,,,
2024-05-31,Kalapi Nx,047/24-25,27AASFK2634G1Z4,5652,2960.00 Cr,74.00 Cr,74.00 Cr,2269.00 Cr,137.00 Cr,137.00 Cr,,,1.00 Cr,,,,
2024-06-05,Parichay Department Stores Pvt Ltd,048/24-25,27AADCP6306N1Z4,3628,,,,3240.00 Cr,194.00 Cr,194.00 Cr,,,,,,,
2024-06-08,Carron Clothing Pvt Ltd,049/24-25,27AABCC2448L1ZK,6139,1000.00 Cr,25.00 Cr,25.00 Cr,4543.00 Cr,273.00 Cr,273.00 Cr,,,,,,,
2024-06-18,Carron Clothing Pvt Ltd,050/24-25,27AABCC2448L1ZK,1516,,,,1353.00 Cr,81.00 Cr,81.00 Cr,,,1.00 Cr,,,,
2024-06-22,Carron Clothing Pvt Ltd,051/24-25,27AABCC2448L1ZK,1309,,,,1168.00 Cr,70.00 Cr,70.00 Cr,,,1.00 Cr,,,,
2024-06-28,Honesty Stores,052/24-25,27ABIPS0106J1ZP,1197,,,,1068.00 Cr,64.00 Cr,64.00 Cr,,,1.00 Cr,,,,
2024-07-08,Carron Clothing Pvt Ltd,053/24-25,27AABCC2448L1ZK,4910,1960.00 Cr,49.00 Cr,49.00 Cr,2547.00 Cr,152.00 Cr,152.00 Cr,,,1.00 Cr,,,,
2024-07-09,Harivar,054/24-25,24AADHT8500M1ZY,4342,,,,,,,3520.00 Cr,422.00 Cr,,400.00 Cr,,,
2024-07-09,Lekhus Collection Pvt Ltd,055/24-25,07AABCL0791K1ZD,37632,,,,,,,33600.00 Cr,4032.00 Cr,,,,,
2024-07-12,Honesty Stores,056/24-25,27ABIPS0106J1ZP,9704,1960.00 Cr,49.00 Cr,49.00 Cr,6827.00 Cr,409.00 Cr,409.00 Cr,,,1.00 Cr,,,,
2024-07-24,Carron Clothing Pvt Ltd,057/24-25,27AABCC2448L1ZK,9624,1960.00 Cr,49.00 Cr,49.00 Cr,6756.00 Cr,405.00 Cr,405.00 Cr,,,,,,,
2024-07-27,Trios,058/24-25,27AACFT4028M1ZY,2730,2600.00 Cr,65.00 Cr,65.00 Cr,,,,,,,,,,
2024-08-03,Puzzle,059/24-25,27AHIPD1472E1ZO,14228,13550.00 Cr,339.00 Cr,339.00 Cr,,,,,,,,,,
2024-08-05,Poonam,060/24-25,27AAPFC2036H2ZG,8260,7866.00 Cr,197.00 Cr,197.00 Cr,,,,,,,,,,
2024-08-06,Trios,061/24-25,27AACFT4028M1ZY,1926,1833.00 Cr,46.00 Cr,46.00 Cr,,,,,,1.00 Cr,,,,
2024-08-07,Kalapi Nx,062/24-25,27AASFK2634G1Z4,12029,11457.00 Cr,286.00 Cr,286.00 Cr,,,,,,,,,,
2024-08-07,Carron Clothing Pvt Ltd,063/24-25,27AABCC2448L1ZK,4383,4175.00 Cr,104.00 Cr,104.00 Cr,,,,,,,,,,
2024-08-07,Poonam,064/24-25,27AAPFC2036H2ZG,7601,7239.00 Cr,181.00 Cr,181.00 Cr,,,,,,,,,,
2024-08-08,Suvidha,065/24-25,27ABCFS5847C1Z5,4028,3836.00 Cr,96.00 Cr,96.00 Cr,,,,,,,,,,
2024-08-08,Blossom,066/24-25,27AQRPS2494R1ZI,16598,15808.00 Cr,395.00 Cr,395.00 Cr,,,,,,,,,,
2024-08-08,Sweety,067/24-25,27AEQPS1949L1ZM,8506,8100.00 Cr,203.00 Cr,203.00 Cr,,,,,,,,,,
2024-08-08,Stop N Shop,068/24-25,27AOFPS2660M1ZG,8548,8140.00 Cr,204.00 Cr,204.00 Cr,,,,,,,,,,
2024-08-08,Honesty Stores,069/24-25,27ABIPS0106J1ZP,13717,13062.00 Cr,327.00 Cr,327.00 Cr,,,,,,1.00 Cr,,,,
2024-08-08,Khodal Kids  Teenage,070/24-25,27CKVPN5692J1Z3,3827,3645.00 Cr,91.00 Cr,91.00 Cr,,,,,,,,,,
2024-08-08,Poonam,071/24-25,27AAPFC2036H2ZG,7931,7552.00 Cr,189.00 Cr,189.00 Cr,,,,,,1.00 Cr,,,,
2024-08-10,Shivam Fashion,072/24-25,24AQFPG7059Q1ZB,31317,,,,,,,26105.00 Cr,3133.00 Cr,,,1980.00 Cr,99.00 Cr,
2024-08-10,He & She Readymade Garments,073/24-25,03AAXPK6247Q1ZU,2150,,,,,,,1920.00 Cr,230.00 Cr,,,,,
2024-08-10,Janta Bazar-Vasai,074/24-25,27AAGFJ8219C1ZG,15532,14791.00 Cr,370.00 Cr,370.00 Cr,,,,,,1.00 Cr,,,,
2024-08-10,Janta Bazar-Nallasopara,075/24-25,27AAGFJ8219C1ZG,15532,14791.00 Cr,370.00 Cr,370.00 Cr,,,,,,1.00 Cr,,,,
2024-08-12,Angel,076/24-25,,26875,,,,,,,14995.00 Cr,1800.00 Cr,,,9600.00 Cr,480.00 Cr,
2024-08-12,Harmony NX,077/24-25,24CYRPK9679Q1ZZ,35032,,,,,,,26685.00 Cr,3202.00 Cr,,,4900.00 Cr,245.00 Cr,
2024-08-12,Kalapi Nx,078/24-25,27AASFK2634G1Z4,11659,2920.00 Cr,73.00 Cr,73.00 Cr,7672.00 Cr,460.00 Cr,460.00 Cr,,,1.00 Cr,,,,
2024-08-12,Trios,079/24-25,27AACFT4028M1ZY,6131,4760.00 Cr,119.00 Cr,119.00 Cr,1011.00 Cr,61.00 Cr,61.00 Cr,,,,,,,
2024-08-13,Pummy Fashion,080/24-25,24AACFP5050H1ZJ,15194,,,,,,,3140.00 Cr,378.00 Cr,,,11120.00 Cr,556.00 Cr,
2024-08-13,Baby's World,081/24-25,24ANCPN9399J1ZC,46694,,,,,,,29035.00 Cr,3484.00 Cr,,,13500.00 Cr,675.00 Cr,
2024-08-13,Tini Mini Baby Mall,082/24-25,24AAMFT5240R1ZK,23659,,,,,,,14825.00 Cr,1778.00 Cr,,,6720.00 Cr,336.00 Cr,
2024-08-13,Kalapi Nx,083/24-25,27AASFK2634G1Z4,10619,,,,9481.00 Cr,569.00 Cr,569.00 Cr,,,,,,,
2024-08-13,Honesty Stores,084/24-25,27ABIPS0106J1ZP,7307,6958.00 Cr,174.00 Cr,174.00 Cr,,,,,,1.00 Cr,,,,
2024-08-13,Janta Bazar-Nallasopara,085/24-25,27AAGFJ8219C1ZG,8260,7866.00 Cr,197.00 Cr,197.00 Cr,,,,,,,,,,
2024-08-13,Janta Bazar-Vasai,086/24-25,27AAGFJ8219C1ZG,8260,7866.00 Cr,197.00 Cr,197.00 Cr,,,,,,,,,,
2024-08-14,Stop N Shop,087/24-25,27AOFPS2660M1ZG,10102,,,,9020.00 Cr,541.00 Cr,541.00 Cr,,,,,,,
2024-08-14,Sagar,088/24-25,27AABPT1293K1ZD,6131,4760.00 Cr,119.00 Cr,119.00 Cr,1011.00 Cr,61.00 Cr,61.00 Cr,,,,,,,
2024-08-16,Harivar,089/24-25,24AADHT8500M1ZY,15377,,,,,,,,,,,14645.00 Cr,732.00 Cr,
2024-08-16,Rushabh Kids Wear-Rajkot,090/24-25,24AFCPT0907N1ZB,7534,,,,,,,,,,,7175.00 Cr,359.00 Cr,
2024-08-16,Carron Clothing Pvt Ltd,091/24-25,27AABCC2448L1ZK,7932,1000.00 Cr,25.00 Cr,25.00 Cr,6144.00 Cr,369.00 Cr,369.00 Cr,,,,,,,
2024-08-17,Smiley,092/24-25,27CBLPG6843D1ZL,17388,16560.00 Cr,414.00 Cr,414.00 Cr,,,,,,,,,,
2024-08-17,Puzzle,093/24-25,27AHIPD1472E1ZO,6142,5850.00 Cr,146.00 Cr,146.00 Cr,,,,,,,,,,
2024-08-17,Shivam Kids Wear,094/24-25,03AQSPD4244K1ZS,22361,,,,,,,14527.00 Cr,1744.00 Cr,,,5800.00 Cr,290.00 Cr,
2024-08-17,59 Colours,095/24-25,03CKQPS9924M1Z8,14706,,,,,,,13130.00 Cr,1576.00 Cr,,,,,
2024-08-17,Janta Bazar-Nallasopara,096/24-25,27AAGFJ8219C1ZG,9660,,,,9199.00 Cr,230.00 Cr,230.00 Cr,,,1.00 Cr,,,,
2024-08-20,Librel,097/24-25,27ADRPS0278E1Z6,6174,5880.00 Cr,147.00 Cr,147.00 Cr,,,,,,,,,,
2024-08-21,Blossom,098/24-25,27AQRPS2494R1ZI,13941,13277.00 Cr,332.00 Cr,332.00 Cr,,,,,,,,,,
2024-08-21,Honesty Stores,099/24-25,27ABIPS0106J1ZP,9660,9199.00 Cr,230.00 Cr,230.00 Cr,,,,,,1.00 Cr,,,,
2024-08-23,Carron Clothing Pvt Ltd,100/24-25,27AABCC2448L1ZK,3810,3628.00 Cr,91.00 Cr,91.00 Cr,,,,,,,,,,
2024-08-24,Khodal Kids  Teenage,101/24-25,27CKVPN5692J1Z3,3223,3069.00 Cr,77.00 Cr,77.00 Cr,,,,,,,,,,
2024-08-24,Pummy Fashion,102/24-25,24AACFP5050H1ZJ,5267,,,,,,,,,,,5016.00 Cr,251.00 Cr,
2024-08-26,Parichay Department Stores Pvt Ltd,103/24-25,27AADCP6306N1Z4,8158,7770.00 Cr,194.00 Cr,194.00 Cr,,,,,,,,,,
2024-08-28,Sweety,104/24-25,27AEQPS1949L1ZM,9724,9260.00 Cr,232.00 Cr,232.00 Cr,,,,,,,,,,
2024-08-29,Carron Clothing Pvt Ltd,105/24-25,27AABCC2448L1ZK,2899,,,,2588.00 Cr,155.00 Cr,155.00 Cr,,,1.00 Cr,,,,
2024-08-30,Pummy Fashion,106/24-25,24AACFP5050H1ZJ,9003,,,,,,,,,,,8574.00 Cr,429.00 Cr,
2024-08-30,Trios,107/24-25,27AACFT4028M1ZY,7369,,,,6578.00 Cr,395.00 Cr,395.00 Cr,,,1.00 Cr,,,,
2024-08-30,Honesty Stores,108/24-25,27ABIPS0106J1ZP,5751,5476.00 Cr,137.00 Cr,137.00 Cr,,,,,,1.00 Cr,,,,
2024-08-30,Parichay Department Stores Pvt Ltd,109/24-25,27AADCP6306N1Z4,3669,3495.00 Cr,87.00 Cr,87.00 Cr,,,,,,,,,,
2024-08-30,Baby's World,110/24-25,24ANCPN9399J1ZC,5723,,,,,,,,,,,5450.00 Cr,273.00 Cr,
2024-08-30,Tiny Baby,111/24-25,27BABPS1183E1ZT,6076,5785.00 Cr,145.00 Cr,145.00 Cr,,,,,,1.00 Cr,,,,
2024-09-01,Blossom,112/24-25,27AQRPS2494R1ZI,13960,13296.00 Cr,332.00 Cr,332.00 Cr,,,,,,,,,,
2024-09-02,Carron Clothing Pvt Ltd,113/24-25,27AABCC2448L1ZK,2447,,,,2185.00 Cr,131.00 Cr,131.00 Cr,,,,,,,
2024-09-03,Tiny Baby,114/24-25,27BABPS1183E1ZT,6704,6384.00 Cr,160.00 Cr,160.00 Cr,,,,,,,,,,
2024-09-03,Honesty Stores,115/24-25,27ABIPS0106J1ZP,6403,6099.00 Cr,152.00 Cr,152.00 Cr,,,,,,,,,,
2024-09-05,Satyam Kids Wear-Durg,116/24-25,22ACYFS7221F1ZX,13482,,,,,,,6525.00 Cr,783.00 Cr,,,5880.00 Cr,294.00 Cr,
2024-09-05,Spice,117/24-25,27AHPPJ7298H1ZL,34305,7640.00 Cr,191.00 Cr,191.00 Cr,23465.00 Cr,1409.00 Cr,1409.00 Cr,,,,,,,
2024-09-05,Arihant Collection,118/24-25,22ABLPV4345B1ZT,22796,,,,,,,14372.00 Cr,1724.00 Cr,1.00 Cr,,6380.00 Cr,319.00 Cr,
2024-09-05,Rushabh Kids Wear-Rajkot,119/24-25,24AFCPT0907N1ZB,7429,,,,,,,,,,,7075.00 Cr,354.00 Cr,
2024-09-05,Carron Clothing Pvt Ltd,120/24-25,27AABCC2448L1ZK,13949,,,,12454.00 Cr,747.00 Cr,747.00 Cr,,,1.00 Cr,,,,
2024-09-05,Honesty Stores,121/24-25,27ABIPS0106J1ZP,6165,5871.00 Cr,147.00 Cr,147.00 Cr,,,,,,,,,,
2024-09-05,Kalapi Nx,122/24-25,27AASFK2634G1Z4,6410,6103.00 Cr,153.00 Cr,153.00 Cr,,,,,,1.00 Cr,,,,
2024-09-05,Fantasy Collections,123/24-25,27AAOPP0155D1ZS,6831,6505.00 Cr,163.00 Cr,163.00 Cr,,,,,,,,,,
2024-09-09,Chocolate Fashion,124/24-25,27AARFC2730J1Z9,17655,5280.00 Cr,132.00 Cr,132.00 Cr,10815.00 Cr,648.00 Cr,648.00 Cr,,,,,,,
2024-09-09,Kalapi Nx,125/24-25,27AASFK2634G1Z4,3964,3776.00 Cr,94.00 Cr,94.00 Cr,,,,,,,,,,
2024-09-09,Festoons,126/24-25,27AABPD1389G1ZX,2830,2696.00 Cr,67.00 Cr,67.00 Cr,,,,,,,,,,
2024-09-09,Maitrik Fashion Pvt Ltd,127/24-25,27AANCM1610N1Z8,24721,10880.00 Cr,272.00 Cr,272.00 Cr,11872.00 Cr,712.00 Cr,712.00 Cr,,,1.00 Cr,,,,
2024-09-09,Maitrik the Baby's Paradise,128/24-25,27AAGFM6760K1ZU,14060,7680.00 Cr,192.00 Cr,192.00 Cr,5354.00 Cr,321.00 Cr,321.00 Cr,,,,,,,
2024-09-09,Riyansh Fashion Pin-A-Kin,129/24-25,27AANCR2517B1ZK,47327,13760.00 Cr,344.00 Cr,344.00 Cr,29355.00 Cr,1762.00 Cr,1762.00 Cr,,,,,,,
2024-09-09,Sheetal Kids Wear,130/24-25,27AACPW1100F1Z6,5339,5085.00 Cr,127.00 Cr,127.00 Cr,,,,,,,,,,
2024-09-09,Sweety Clothing LLP,131/24-25,27AFGFS7469J1Z8,5084,4842.00 Cr,121.00 Cr,121.00 Cr,,,,,,,,,,
2024-09-09,Honesty Stores,132/24-25,27ABIPS0106J1ZP,3672,3277.00 Cr,197.00 Cr,197.00 Cr,,,,,,1.00 Cr,,,,
2024-09-11,Poonam,133/24-25,27AAPFC2036H2ZG,6165,5871.00 Cr,147.00 Cr,147.00 Cr,,,,,,,,,,
2024-09-11,Tiny Baby,134/24-25,27BABPS1183E1ZT,3392,3230.00 Cr,81.00 Cr,81.00 Cr,,,,,,,,,,
2024-09-11,Trios,135/24-25,27AACFT4028M1ZY,1171,,,,1045.00 Cr,63.00 Cr,63.00 Cr,,,,,,,
2024-09-13,Carron Clothing Pvt Ltd,136/24-25,27AABCC2448L1ZK,2617,,,,2337.00 Cr,140.00 Cr,140.00 Cr,,,,,,,
2024-09-13,Tiny Baby,137/24-25,27BABPS1183E1ZT,5596,5329.00 Cr,133.00 Cr,133.00 Cr,,,,,,1.00 Cr,,,,
2024-09-13,Kalapi Nx,138/24-25,27AASFK2634G1Z4,18768,,,,16758.00 Cr,1005.00 Cr,1005.00 Cr,,,,,,,
2024-09-13,Carron Clothing Pvt Ltd,139/24-25,27AABCC2448L1ZK,15380,,,,13732.00 Cr,824.00 Cr,824.00 Cr,,,,,,,
2024-09-13,Angel,140/24-25,,14879,,,,,,,13285.00 Cr,1594.00 Cr,,,,,
2024-09-14,Dresswala Collection-Rajkot,141/24-25,24ADCPA4778J1ZL,59911,,,,,,,39036.00 Cr,4684.00 Cr,,,15420.00 Cr,771.00 Cr,
2024-09-14,Stop N Shop,142/24-25,27AOFPS2660M1ZG,11816,,,,10550.00 Cr,633.00 Cr,633.00 Cr,,,,,,,
2024-09-18,Suvidha,143/24-25,27ABCFS5847C1Z5,6250,,,,5580.00 Cr,335.00 Cr,335.00 Cr,,,,,,,
2024-09-18,Khodal Kids  Teenage,144/24-25,27CKVPN5692J1Z3,6599,2920.00 Cr,73.00 Cr,73.00 Cr,3155.00 Cr,189.00 Cr,189.00 Cr,,,,,,,
2024-09-18,Kalapi Nx,145/24-25,27AASFK2634G1Z4,12556,5680.00 Cr,142.00 Cr,142.00 Cr,5886.00 Cr,353.00 Cr,353.00 Cr,,,,,,,
2024-09-18,Parichay Department Stores Pvt Ltd,146/24-25,27AADCP6306N1Z4,6720,,,,6000.00 Cr,360.00 Cr,360.00 Cr,,,,,,,
2024-09-18,Dresswala Collection-Rajkot,147/24-25,24ADCPA4778J1ZL,33915,,,,,,,18300.00 Cr,2196.00 Cr,,,12780.00 Cr,639.00 Cr,
2024-09-18,Stop N Shop,148/24-25,27AOFPS2660M1ZG,10043,960.00 Cr,24.00 Cr,24.00 Cr,8065.00 Cr,485.00 Cr,485.00 Cr,,,,,,,
2024-09-20,Fantasy Collections,149/24-25,27AAOPP0155D1ZS,25356,,,,22640.00 Cr,1358.00 Cr,1358.00 Cr,,,,,,,
2024-09-20,Navyug Selection,150/24-25,24ARQPG6894D1ZG,10119,,,,,,,9035.00 Cr,1084.00 Cr,,,,,
2024-09-21,Kalapi Nx,151/24-25,27AASFK2634G1Z4,2447,2185.00 Cr,131.00 Cr,131.00 Cr,,,,,,,,,,
2024-09-21,Carron Clothing Pvt Ltd,152/24-25,27AABCC2448L1ZK,2501,,,,2232.00 Cr,134.00 Cr,134.00 Cr,,,1.00 Cr,,,,
2024-09-23,Carron Clothing Pvt Ltd,153/24-25,27AABCC2448L1ZK,472,450.00 Cr,11.00 Cr,11.00 Cr,,,,,,,,,,
2024-09-24,Tiny Baby,154/24-25,27BABPS1183E1ZT,15762,1000.00 Cr,25.00 Cr,25.00 Cr,13136.00 Cr,788.00 Cr,788.00 Cr,,,,,,,
2024-09-25,Carron Clothing Pvt Ltd,155/24-25,27AABCC2448L1ZK,1309,,,,1168.00 Cr,70.00 Cr,70.00 Cr,,,1.00 Cr,,,,
2024-09-26,Pummy Kids,156/24-25,24AAIFP6574C1Z8,22513,,,,,,,12394.00 Cr,1488.00 Cr,,,8220.00 Cr,411.00 Cr,
2024-09-26,The Jhalak Kalapi Group,157/24-25,24AARFJ4428N1ZT,15374,,,,,,,7690.00 Cr,922.00 Cr,,,6440.00 Cr,322.00 Cr,
2024-09-26,MAYUR KIDS (JUNAGADH),158/24-25,24ADQPL4979A1ZC,15200,,,,,,,,,,,14476.00 Cr,724.00 Cr,
2024-09-26,Patel Selection,159/24-25,24ARWPK9302J1ZC,6720,,,,,,,,,,,6400.00 Cr,320.00 Cr,
2024-09-26,Komal Kids,160/24-25,08AQKPK9213D1ZV,20507,,,,,,,18310.00 Cr,2197.00 Cr,,,,,
2024-09-26,Janta Bazar-Nallasopara,161/24-25,27AAGFJ8219C1ZG,873,831.00 Cr,21.00 Cr,21.00 Cr,,,,,,,,,,
2024-09-26,Navyug Selection,162/24-25,24ARQPG6894D1ZG,1590,,,,,,,1330.00 Cr,160.00 Cr,,100.00 Cr,,,
2024-09-30,59 Colours,163/24-25,03CKQPS9924M1Z8,14706,,,,,,,13130.00 Cr,1576.00 Cr,,,,,
2024-09-30,Awal Nx-Punjab,164/24-25,03AAXFA8683N1ZJ,29411,,,,,,,26260.00 Cr,3151.00 Cr,,,,,
2024-09-30,Carron Clothing Pvt Ltd,165/24-25,27AABCC2448L1ZK,27089,2000.00 Cr,50.00 Cr,50.00 Cr,22310.00 Cr,1339.00 Cr,1339.00 Cr,,,1.00 Cr,,,,
2024-10-01,Marry King Garments,166/24-25,03AAOFM9067D1Z5,31585,,,,,,,28201.00 Cr,3384.00 Cr,,,,,
2024-10-01,Kids Camp-Punjab,167/24-25,03AXDPN8959R1ZJ,21504,,,,,,,15504.00 Cr,1860.00 Cr,0.50 Cr,,3942.50 Cr,197.00 Cr,
2024-10-01,Spice,168/24-25,27AHPPJ7298H1ZL,15382,14650.00 Cr,366.00 Cr,366.00 Cr,,,,,,,,,,
2024-10-02,Pummy Fashion,169/24-25,24AACFP5050H1ZJ,17035,,,,,,,15210.00 Cr,1825.00 Cr,,,,,
2024-10-02,Shivam Fashion,170/24-25,24AQFPG7059Q1ZB,15126,,,,,,,13505.00 Cr,1621.00 Cr,,,,,
2024-10-02,Valia's Kids Corner,171/24-25,24AAFPV5050Q1Z6,30251,,,,,,,27010.00 Cr,3241.00 Cr,,,,,
2024-10-02,Sweety Clothing LLP,172/24-25,27AFGFS7469J1Z8,22573,,,,20155.00 Cr,1209.00 Cr,1209.00 Cr,,,,,,,
2024-10-02,Puzzle,173/24-25,27AHIPD1472E1ZO,15125,,,,13505.00 Cr,810.00 Cr,810.00 Cr,,,,,,,
2024-10-02,Honesty Stores,174/24-25,27ABIPS0106J1ZP,15400,6960.00 Cr,174.00 Cr,174.00 Cr,7223.00 Cr,434.00 Cr,434.00 Cr,,,1.00 Cr,,,,
