Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-11-09,Carron Clothing Pvt Ltd,365/24-25,27AABCC2448L1ZK,24904,1520.00 Cr,38.00 Cr,38.00 Cr,20809.00 Cr,1249.00 Cr,1249.00 Cr,,,1.00 Cr,,,,
2024-11-09,Apple Kids,362/24-25,27AUIPS6693M1ZK,17390,6085.00 Cr,152.00 Cr,152.00 Cr,9823.00 Cr,589.00 Cr,589.00 Cr,,,,,,,
2024-11-09,Smiley,361/24-25,27CBLPG6843D1ZL,8909,,,,7955.00 Cr,477.00 Cr,477.00 Cr,,,,,,,
2024-11-09,Suvidha,360/24-25,27ABCFS5847C1Z5,12224,,,,10913.00 Cr,655.00 Cr,655.00 Cr,,,1.00 Cr,,,,
2024-11-11,Kalapi Nx,369/24-25,27AASFK2634G1Z4,3395,,,,3031.00 Cr,182.00 Cr,182.00 Cr,,,,,,,
2024-11-11,Suvidha,370/24-25,27ABCFS5847C1Z5,23696,,,,21157.00 Cr,1269.00 Cr,1269.00 Cr,,,1.00 Cr,,,,
2024-11-11,Stop N Shop,368/24-25,27AOFPS2660M1ZG,36237,,,,32355.00 Cr,1941.00 Cr,1941.00 Cr,,,,,,,
2024-11-11,Kids Camp,367/24-25,27ABTPB7911K1ZA,8293,,,,7405.00 Cr,444.00 Cr,444.00 Cr,,,,,,,
2024-11-12,Sri Balaj Trends,381/24-25,29BTZPK8286M1Z7,32256,,,,,,,28800.00 Cr,3456.00 Cr,,,,,
2024-11-12,Royal Collection,380/24-25,29DBKPS7583A1Z4,24276,,,,,,,21675.00 Cr,2601.00 Cr,,,,,
2024-11-12,Baby Zone,379/24-25,24AAOFB5388G1Z6,13714,,,,,,,12245.00 Cr,1469.00 Cr,,,,,
2024-11-12,Harivar,378/24-25,24AADHT8500M1ZY,57182,,,,,,,51055.00 Cr,6127.00 Cr,,,,,
2024-11-12,Kalapi Nx,376/24-25,27AASFK2634G1Z4,1202,,,,1074.00 Cr,64.00 Cr,64.00 Cr,,,,,,,
2024-11-12,Stop N Shop Plus,375/24-25,27BMKPS5659C1ZM,23044,1840.00 Cr,46.00 Cr,46.00 Cr,18850.00 Cr,1131.00 Cr,1131.00 Cr,,,,,,,
2024-11-12,Poonam,374/24-25,27AAPFC2036H2ZG,8666,,,,7738.00 Cr,464.00 Cr,464.00 Cr,,,,,,,
2024-11-12,Carron Clothing Pvt Ltd,373/24-25,27AABCC2448L1ZK,13089,589.00 Cr,15.00 Cr,15.00 Cr,11134.00 Cr,668.00 Cr,668.00 Cr,,,,,,,
2024-11-12,Kalapi Nx,372/24-25,27AASFK2634G1Z4,22477,,,,20069.00 Cr,1204.00 Cr,1204.00 Cr,,,,,,,
2024-11-12,Trend Setter,371/24-25,27AAFPS2786N1ZW,14896,,,,13300.00 Cr,798.00 Cr,798.00 Cr,,,,,,,
2024-11-12,MAYUR KIDS (JUNAGADH),377/24-25,24ADQPL4979A1ZC,1780,,,,,,,1500.00 Cr,180.00 Cr,,100.00 Cr,,,
2024-11-13,Tiny Baby,385/24-25,27BABPS1183E1ZT,8788,8370.00 Cr,209.00 Cr,209.00 Cr,,,,,,,,,,
2024-11-13,Kids Zone-Kalbadevi,384/24-25,27AIYPB2790A1Z8,16663,,,,14877.00 Cr,893.00 Cr,893.00 Cr,,,,,,,
2024-11-13,Khurana Fashions,383/24-25,07AANFK6196L1ZJ,60747,,,,,,,45285.00 Cr,5434.00 Cr,,,9550.00 Cr,478.00 Cr,
2024-11-13,MAYUR KIDS (JUNAGADH),382/24-25,24ADQPL4979A1ZC,24646,,,,,,,22005.00 Cr,2641.00 Cr,,,,,
2024-11-15,Suvidha,387/24-25,27ABCFS5847C1Z5,1490,,,,1330.00 Cr,80.00 Cr,80.00 Cr,,,,,,,
2024-11-15,Kalapi Nx,386/24-25,27AASFK2634G1Z4,2645,,,,2361.00 Cr,142.00 Cr,142.00 Cr,,,,,,,
